approve,id,label,kind,unit_id,era_id,region_primary,region_others,year_from,year_to,year_precision,exam_weight,prereq_ids,why_confusable,note
○,kc.china.qin_unification_causes,秦が中国を統一できた要因,causal,wh.2.3.1,1,中国,,-356,-221,exact,1.3,kc.china.fengjian_vs_junxian,「なぜ秦だったのか」を商鞅の変法と関中の地理的条件から説明できない,
○,kc.china.qin_fall_causes,秦が短期間で崩壊した要因,causal,wh.2.3.1,1,中国,,-221,-206,exact,1.3,kc.china.qin_unification_causes,統一から滅亡まで15年という短さの理由（法治の峻厳・大規模土木・陳勝呉広の乱）が言えない,
○,kc.china.han_junguo_to_junxian,郡国制から実質的な郡県制への移行,causal,wh.2.3.1,1,中国,,-202,-141,exact,1.4,kc.china.qin_fall_causes,前漢の統治体制が呉楚七国の乱を境に変わることが抜け、秦＝郡県／漢＝郡国で固定される,
○,kc.china.wudi_policies,武帝の内政・外交政策,fact,wh.2.3.1,1,中国,モンゴル高原;中央アジア,-141,-87,exact,1.5,kc.china.han_junguo_to_junxian,郷挙里選・均輸平準・塩鉄専売・張騫派遣・儒学の官学化と制度名が多く、後代の科挙や両税法と混ざる,
○,kc.china.division_period_order,黄巾の乱から南北朝までの分裂期の順序,chronology,wh.2.3.2,1,中国,,184,589,exact,1.5,,三国・西晋・八王の乱・五胡十六国・南北朝と続く順序が、中国史のなかで最も崩れやすい,
○,kc.china.northern_wei_sinicization,孝文帝の漢化政策と均田制の導入,causal,wh.2.3.2,1,中国,,485,494,exact,1.4,kc.china.division_period_order,均田制の起点が北魏であることを、唐の制度から遡って理解していない,
○,kc.china.tang_system_collapse,均田制・租調庸・府兵制の崩壊が両税法・募兵制を生んだ因果,causal,wh.2.3.2,1,中国,,624,780,exact,1.6,kc.china.northern_wei_sinicization,3つの制度が一組であることと、安史の乱を境に一斉に転換する因果がつながらない,
○,kc.china.sui_vs_tang_institutions,隋と唐の制度の連続と相違,distinction,wh.2.3.2,1,中国,,581,907,exact,1.4,,科挙の開始・大運河の建設という隋の業績が、唐のものとして記憶される,
○,kc.eastasia.tang_cultural_sphere,東アジア文化圏を成り立たせた4要素,fact,wh.2.3.3,1,東アジア,朝鮮;日本,600,900,century,1.3,kc.china.sui_vs_tang_institutions,漢字・儒教・仏教・律令という4要素の列挙と、朝鮮・日本・ベトナムへの伝播が結びつかない,
○,kc.eastasia.korea_dynasty_order,朝鮮の王朝交替の順序,chronology,wh.2.3.3,1,朝鮮,中国,-100,1392,century,1.2,kc.eastasia.tang_cultural_sphere,高句麗・百済・新羅から新羅統一・高麗・朝鮮に至る順序が、同時期の中国王朝と対応づけられない,
○,kc.innerasia.nomad_vs_oasis,遊牧国家とオアシス都市国家の関係,distinction,wh.2.4.1,1,中央アジア,モンゴル高原,-200,1200,century,1.2,,内陸アジアを「遊牧民だけ」と捉え、軍事力と交易・農業が補い合う共生関係が見えない,
○,kc.innerasia.xiongnu_and_han,匈奴の圧力が漢の対外政策を規定した因果,causal,wh.2.4.1,1,モンゴル高原,中国,-209,-87,exact,1.4,kc.innerasia.nomad_vs_oasis,匈奴を「漢に攻められた側」としてしか見ず、和親策から武帝の攻勢への転換の理由を落とす,
○,kc.innerasia.turk_and_uighur,突厥・ウイグルと唐の関係,fact,wh.2.4.1,1,モンゴル高原,中国,552,840,exact,1.1,kc.innerasia.xiongnu_and_han,突厥の東西分裂と、ウイグルが安史の乱で唐を援助したことの前後関係,
○,kc.trade.three_routes_geo,オアシスの道・草原の道・海の道の経路,geo,wh.2.4.2,1,中央アジア,モンゴル高原;東南アジア,-100,1500,century,1.3,,3ルートの通過地域が入れ替わる。草原の道が北、オアシスの道がタリム盆地経由という対応,
○,kc.trade.sogdian_role,ソグド人の交易と文化仲介,fact,wh.2.4.2,1,中央アジア,中国,400,800,century,1.1,kc.trade.three_routes_geo,イラン系であること、唐に多く居住し安禄山の出自にも関わることが抜ける,
○,kc.trade.buddhism_transmission_order,仏教がインドから日本へ伝わった順序,chronology,wh.2.4.2,1,中央アジア,南アジア;中国;朝鮮,-100,538,century,1.2,kc.india.mahayana_vs_theravada,伝播の順序（インド→中央アジア→中国→朝鮮→日本）と、各地への到達時期がつながらない,
○,kc.islam.hijra_and_umma,ヒジュラとウンマの成立,fact,wh.2.5.1,1,アラビア半島,,622,622,exact,1.3,,イスラーム暦の起点がヒジュラ（622年のメディナ移住）であることが、ムハンマドの生誕や啓示と混ざる,
○,kc.islam.rashidun_vs_umayyad_succession,正統カリフ時代とウマイヤ朝のカリフ選出方法の違い,distinction,wh.2.5.1,1,アラビア半島,,632,750,exact,1.4,kc.islam.hijra_and_umma,選挙による選出から世襲への転換が、スンナ派とシーア派の分裂と結びつかない,
○,kc.islam.sunni_vs_shia_origin,スンナ派とシーア派が分かれた原因,causal,wh.2.5.1,1,メソポタミア・イラン,アラビア半島,656,680,exact,1.6,kc.islam.rashidun_vs_umayyad_succession,教義の違いから説明しようとして、カリフ位の継承をめぐる政治的対立という起点を落とす,
○,kc.islam.arab_conquest_causes,大征服が短期間で成功した要因,causal,wh.2.5.1,1,アラビア半島,メソポタミア・イラン;エジプト・北アフリカ,634,750,exact,1.4,kc.islam.hijra_and_umma,「宗教的情熱」だけで説明し、ビザンツとササン朝の疲弊や被征服民への待遇という条件を落とす,
○,kc.islam.umayyad_vs_abbasid,ウマイヤ朝とアッバース朝の支配原理の違い,distinction,wh.2.5.2,1,メソポタミア・イラン,アナトリア・シリア,661,1258,exact,1.8,kc.islam.rashidun_vs_umayyad_succession,最頻出の混同。首都（ダマスクス／バグダード）、アラブ人の特権の有無、ジズヤとハラージュの課税対象が入れ替わる,
○,kc.islam.abbasid_decline_order,アッバース朝の実権喪失からスルタンの出現までの順序,chronology,wh.2.5.2,1,メソポタミア・イラン,,945,1055,exact,1.4,kc.islam.umayyad_vs_abbasid,ブワイフ朝の大アミールとセルジューク朝のスルタンの前後関係、カリフとスルタンの権限分離の経緯,
○,kc.islam.three_caliphates_geo,10世紀に3人のカリフが並立した位置,geo,wh.2.5.2,1,エジプト・北アフリカ,メソポタミア・イラン;南欧・地中海,909,1031,exact,1.3,kc.islam.umayyad_vs_abbasid,アッバース朝＝バグダード、ファーティマ朝＝カイロ、後ウマイヤ朝＝コルドバの対応が定着しない,
○,kc.islam.fatimid_vs_ayyubid,ファーティマ朝とアイユーブ朝の宗派の違い,distinction,wh.2.5.2,1,エジプト・北アフリカ,,909,1250,exact,1.3,kc.islam.three_caliphates_geo,サラディンがファーティマ朝を倒したことが、シーア派政権からスンナ派政権への転換である点が見えない,
○,kc.islam.iqta_system,イクター制の内容と開始時期,fact,wh.2.5.2,1,メソポタミア・イラン,,946,1200,century,1.3,kc.islam.abbasid_decline_order,現物給与から分与地（徴税権）への転換であること、ブワイフ朝で始まりセルジューク朝が広めたこと,
○,kc.islam.transmission_to_europe,イスラーム経由でギリシア古典がヨーロッパへ再流入した因果,causal,wh.2.5.2,1,南欧・地中海,西欧;エジプト・北アフリカ,1085,1200,century,1.3,,12世紀ルネサンスの前提として問われるが、トレド・シチリアという翻訳の場が結びつかない,
○,kc.euro.germanic_migration_causes,ゲルマン人の大移動を引き起こした要因,causal,wh.2.6.1,1,西欧,東欧・ロシア,375,476,exact,1.4,,フン人の西進という契機と、西ローマ帝国の滅亡との時間的な関係がつながらない,
○,kc.euro.frank_conversion_significance,クローヴィスの改宗が持った意味,causal,wh.2.6.1,1,西欧,,496,496,exact,1.5,kc.euro.germanic_migration_causes,他のゲルマン諸国家がアリウス派だったという対比が抜け、アタナシウス派改宗がローマ系住民との融合を可能にした点を落とす,
○,kc.euro.carolingian_coronation_meaning,カールの戴冠が意味したもの,causal,wh.2.6.1,1,西欧,東欧・ロシア,800,800,exact,1.6,kc.euro.frank_conversion_significance,年号は覚えていても、西ローマ帝国の復興・ビザンツとの対立・教皇と皇帝の相互依存という政治的意味が説明できない,
○,kc.euro.verdun_and_mersen,ヴェルダン条約とメルセン条約の結果,chronology,wh.2.6.1,1,西欧,,843,870,exact,1.4,kc.euro.carolingian_coronation_meaning,2条約の順序と、どちらで独・仏・伊の原型ができたかが入れ替わる,
○,kc.euro.orthodox_vs_catholic,ギリシア正教とローマ=カトリックの違い,distinction,wh.2.6.2,1,東欧・ロシア,西欧,726,1054,exact,1.5,,東西教会の対立点が聖像禁止令だけに集約されがちで、皇帝教皇主義という統治構造の差が抜ける,
○,kc.euro.byzantine_institutions,ビザンツ帝国の軍管区制と屯田兵制,fact,wh.2.6.2,1,東欧・ロシア,,610,1071,century,1.2,kc.euro.orthodox_vs_catholic,ユスティニアヌス以後の体制変化であること、プロノイア制への移行との前後関係,
○,kc.euro.slav_division_geo,東・西・南スラヴの分布と受容した宗派,geo,wh.2.6.2,1,東欧・ロシア,,800,1200,century,1.3,kc.euro.orthodox_vs_catholic,民族の分布と、正教／カトリックの境界が一致しない箇所（ポーランド・クロアティア）で誤る,
○,kc.euro.feudal_two_layers,封建的主従関係と荘園制の違い,distinction,wh.2.6.3,1,西欧,,800,1300,century,1.5,,「封建制」が主従関係（騎士）と土地制度（農奴）の2層からなることが混ざり、双務的契約という特徴を落とす,
○,kc.euro.investiture_controversy,聖職叙任権闘争の経緯と決着,causal,wh.2.6.3,1,西欧,南欧・地中海,1075,1122,exact,1.5,kc.euro.feudal_two_layers,クリュニー修道院の改革が起点であること、カノッサの屈辱とヴォルムス協約で優劣がどう動いたか,
○,kc.euro.agricultural_growth_effects,農業技術の普及が中世の拡大を支えた因果,causal,wh.2.6.3,1,西欧,,1000,1300,century,1.3,kc.euro.feudal_two_layers,三圃制・重量有輪犂の話が政治史と切り離され、人口増加・大開墾・十字軍につながる因果が見えない,
,kc.prehist.hominid_stages,猿人・原人・旧人・新人の区別,distinction,wh.1.1.1,1,サハラ以南アフリカ,西欧;東アジア,,,unknown,0.9,,化石人類の名（アウストラロピテクス・ジャワ原人・ネアンデルタール人・クロマニョン人）と段階の対応が崩れ、直立二足歩行・火の使用・埋葬・洞穴絵画がどの段階の特徴かも入れ替わる,
,kc.prehist.human_dispersal_geo,新人がアフリカから拡散した経路,geo,wh.1.1.1,1,サハラ以南アフリカ,西アジア;東アジア;アメリカ,,,unknown,0.8,kc.prehist.hominid_stages,出アフリカの起点と、ベーリング海峡を渡ってアメリカ大陸へ到達したのが最後だという順序が地図上で結びつかない,
,kc.prehist.bipedalism_effects,直立二足歩行が人類にもたらした変化,causal,wh.1.1.1,1,サハラ以南アフリカ,,,,unknown,0.8,,「手が自由になった」で止まり、道具の製作・脳容量の増大・出産様式の変化という連鎖として説明できない,
,kc.prehist.fire_burial_art,火の使用・埋葬・洞穴絵画の担い手,fact,wh.1.1.1,1,サハラ以南アフリカ,西欧;東アジア,,,unknown,0.8,kc.prehist.hominid_stages,火の使用が原人、死者の埋葬が旧人、ラスコー・アルタミラの洞穴絵画が新人という対応が入れ替わる,
,kc.prehist.stone_age_division,旧石器・中石器・新石器の区分基準,distinction,wh.1.1.1,1,西アジア,西欧,,,unknown,0.8,,区分の基準が石器の製法（打製／磨製）であることと、細石器を特徴とする中石器時代が間に挟まることが抜ける,
,kc.neolithic.food_production_causes,獲得経済から生産経済へ転換した要因,causal,wh.1.1.2,1,西アジア,,-9000,-8000,century,1.0,,「農耕が始まった」と暗記するだけで、氷期の終了による環境変化と麦・羊の原生地という条件が結びつかない,
,kc.neolithic.neolithic_toolkit,新石器時代を特徴づける道具,fact,wh.1.1.2,1,西アジア,,-9000,-3000,century,0.9,kc.prehist.stone_age_division,磨製石器・土器・織物という組み合わせが、のちの金属器の使用開始と時期的に混ざる,
,kc.neolithic.fertile_crescent_geo,農耕の起源地とその伝播,geo,wh.1.1.2,1,アナトリア・シリア,メソポタミア・イラン;エジプト・北アフリカ;南欧・地中海,-9000,-4000,century,1.0,kc.neolithic.food_production_causes,肥沃な三日月地帯がどこを指すかと、そこから地中海・ヨーロッパへ農耕が広がった経路が地図上であいまいなまま,
,kc.neolithic.irrigation_to_state,灌漑農業が階級と国家を生んだ因果,causal,wh.1.1.2,1,メソポタミア・イラン,エジプト・北アフリカ,-4000,-3000,century,1.2,kc.neolithic.food_production_causes,余剰生産→分業→階級→都市国家という連鎖が、「四大文明」の場所と川の名の暗記に置き換わる,
,kc.neolithic.metal_age_order,石器から青銅器・鉄器へ移る順序,chronology,wh.1.1.2,1,西アジア,アナトリア・シリア,-3000,-1200,century,1.0,kc.neolithic.neolithic_toolkit,青銅器と鉄器の前後関係と、ヒッタイトによる鉄器の独占が崩れて普及したという位置づけが混ざる,
,kc.source.primary_vs_secondary,一次史料と二次史料の区別,distinction,wh.1.2.1,1,西欧,,,,unknown,0.8,,「同時代に作られたか」という基準が、「信頼できるか」という価値判断と混同される,
,kc.source.material_vs_written,文字史料と考古資料でわかることの違い,distinction,wh.1.2.1,1,西アジア,,,,unknown,0.7,kc.source.primary_vs_secondary,文字を持たない社会は「わからない」と扱われ、遺構・遺物から生活を復元する方法が視野に入らない,
,kc.source.bias_in_records,記録が残る側に偏る理由,causal,wh.1.2.1,1,西欧,,,,unknown,0.8,kc.source.primary_vs_secondary,史料が権力者と識字層の側から書かれるため、民衆や女性の姿が見えにくいという構造が意識されない,
,kc.source.periodization_problem,時代区分が地域ごとに一致しないこと,distinction,wh.1.2.1,1,西欧,中国,,,unknown,0.9,,ヨーロッパ史の古代・中世・近代という区分を、中国史やイスラーム史にそのまま当てはめてしまう,
,kc.turkiran.samanid_to_ghaznavid,イラン系・トルコ系王朝の交替順序,chronology,wh.3.1.1,1,中央アジア,メソポタミア・イラン;南アジア,875,1187,exact,1.3,kc.islam.abbasid_decline_order,サーマーン朝（イラン系）からカラハン朝・ガズナ朝（トルコ系）への交替という系統の変化と、それぞれの中心地が崩れる,
,kc.turkiran.turkification_causes,中央アジアがトルコ化・イスラーム化した要因,causal,wh.3.1.1,1,中央アジア,,840,1000,century,1.4,,マムルーク（軍人奴隷）としての流入と、カラハン朝の集団改宗という2つの経路が結びつかない,
,kc.turkiran.seljuk_sultanate,セルジューク朝がスルタン位を得た経緯,fact,wh.3.1.1,1,メソポタミア・イラン,アナトリア・シリア,1038,1157,exact,1.5,kc.islam.abbasid_decline_order,ブワイフ朝を追ってバグダードに入りカリフからスルタンの称号を得たという順序が、アッバース朝そのものの滅亡と混ざる,
,kc.turkiran.mamluk_and_iqta,マムルークとイクター制の結びつき,distinction,wh.3.1.1,1,エジプト・北アフリカ,メソポタミア・イラン,946,1250,century,1.3,kc.islam.iqta_system,軍人奴隷という身分と、その給与として与えられた徴税権という制度が、別々の話として覚えられる,
,kc.turkiran.anatolia_turkification_geo,トルコ系勢力がアナトリアへ進出した範囲,geo,wh.3.1.1,1,アナトリア・シリア,中央アジア;東欧・ロシア,1071,1300,exact,1.4,kc.turkiran.seljuk_sultanate,マンジケルトの戦いを境にアナトリアがトルコ化したことと、現在のトルコ共和国の位置が地図上で結びつかない,
,kc.turkiran.ghaznavid_india_causes,ガズナ朝の侵入が北インドに与えた影響,causal,wh.3.1.1,1,南アジア,中央アジア,998,1206,exact,1.3,kc.turkiran.samanid_to_ghaznavid,略奪を目的としたガズナ朝の侵入と、支配のために進出したゴール朝・奴隷王朝の違いが区別されない,
,kc.islamize.delhi_sultanate_order,デリー=スルタン朝5王朝の順序,chronology,wh.3.1.2,1,南アジア,,1206,1526,exact,1.3,kc.turkiran.ghaznavid_india_causes,奴隷王朝・ハルジー朝・トゥグルク朝・サイイド朝・ロディー朝の順序と、どこからムガル帝国になるかの境目が崩れる,
,kc.islamize.bhakti_and_sufism,インドでイスラームが民衆に定着した経路,causal,wh.3.1.2,1,南アジア,,1200,1600,century,1.4,kc.islamize.delhi_sultanate_order,支配層の宗教という側面だけで見て、スーフィズムとバクティ信仰が接近したという民衆レベルの経路を落とす,
,kc.islamize.sea_route_islam_geo,東南アジアがイスラーム化した順序と範囲,geo,wh.3.1.2,1,東南アジア,南アジア,1290,1600,century,1.4,kc.sea.port_polities_geo,マラッカ王国を軸にスマトラ→マレー半島→ジャワへ広がった経路と、上座部仏教が残る大陸部との境界が地図で描けない,
,kc.islamize.west_africa_states,ガーナ・マリ・ソンガイ王国の違い,distinction,wh.3.1.2,1,サハラ以南アフリカ,エジプト・北アフリカ,700,1591,century,1.3,,3王国が同じ地域で交替することと、マリ王国のマンサ=ムーサの巡礼で知られるようになった点が混ざる,
,kc.islamize.swahili_coast_geo,東アフリカ海岸の海港都市の位置,geo,wh.3.1.2,1,サハラ以南アフリカ,アラビア半島;南アジア,1000,1500,century,1.1,,マリンディ・モンバサ・キルワの位置と、インド洋交易・スワヒリ語の成立が結びつかない,
,kc.islamize.sufi_role,スーフィーが布教で果たした役割,fact,wh.3.1.2,1,南アジア,東南アジア;サハラ以南アフリカ,1100,1600,century,1.2,kc.islamize.bhakti_and_sufism,神秘主義という教義面だけを覚え、商人層とともに辺境社会へ浸透した担い手だった点が抜ける,
,kc.song.civil_supremacy_causes,文治主義が軍事的弱体を招いた因果,causal,wh.3.2.1,1,中国,,960,1127,exact,1.6,kc.china.tang_system_collapse,節度使の抑制と科挙の整備という合理的な選択が、遼・西夏への歳幣という帰結につながる筋が見えない,
,kc.song.northern_peoples,遼・西夏・金の民族と文字,distinction,wh.3.2.1,1,モンゴル高原,中国,916,1234,exact,1.5,,契丹（遼）・タングート（西夏）・女真（金）の対応と、いずれも独自の文字を作ったという共通点が入れ替わる,
,kc.song.wang_anshi_reform,王安石の新法の内容と挫折,fact,wh.3.2.1,1,中国,,1069,1085,exact,1.4,kc.song.civil_supremacy_causes,青苗法・募役法・市易法・保甲法それぞれの目的が混ざり、旧法党との対立で挫折した経緯が抜ける,
,kc.song.north_to_south_geo,北宋と南宋の領域の違い,geo,wh.3.2.1,1,中国,モンゴル高原,960,1279,exact,1.4,kc.song.northern_peoples,靖康の変で華北を失い淮河が境界になったことと、都が開封から臨安へ移ったことが地図上で結びつかない,
,kc.song.economic_revolution,江南の開発と商業の発展が生んだ変化,causal,wh.3.2.1,1,中国,,960,1279,century,1.5,,占城稲・交子・行と作・鎮の登場が個別の暗記になり、経済の重心が南へ移るという流れとして捉えられない,
,kc.song.scholar_officials,士大夫と門閥貴族の違い,distinction,wh.3.2.1,1,中国,,960,1279,century,1.3,kc.song.civil_supremacy_causes,唐までの貴族と宋以後の士大夫が同じ支配層として扱われ、科挙によって再生産されるという違いが消える,
,kc.mongol.expansion_order,モンゴルの征服とウルス成立の順序,chronology,wh.3.2.2,1,モンゴル高原,中央アジア;メソポタミア・イラン;東欧・ロシア,1206,1279,exact,1.6,,チンギス=ハン・オゴタイ・フビライの代と、ワールシュタットの戦い・アッバース朝滅亡・南宋滅亡の対応が崩れる,
,kc.mongol.four_khanates_geo,4ハン国の位置,geo,wh.3.2.2,1,中央アジア,東欧・ロシア;メソポタミア・イラン,1240,1502,exact,1.5,kc.mongol.expansion_order,キプチャク（南ロシア）・チャガタイ（中央アジア）・イル（イラン）の対応が地図上で入れ替わる,
,kc.mongol.yuan_hierarchy,元の身分序列,fact,wh.3.2.2,1,中国,モンゴル高原,1271,1368,exact,1.4,kc.mongol.expansion_order,モンゴル人・色目人・漢人・南人という4区分の順序と、漢人（旧金領）と南人（旧南宋領）の違いが混ざる,
,kc.mongol.pax_mongolica,ユーラシアの東西交流が活発化した要因,causal,wh.3.2.2,1,中央アジア,中国;西欧,1240,1350,century,1.5,kc.mongol.four_khanates_geo,駅伝制（ジャムチ）と交易保護という制度面が、マルコ=ポーロやイブン=バットゥータの往来と結びつかない,
,kc.mongol.yuan_fall_causes,元が短期間で中国から退いた要因,causal,wh.3.2.2,1,中国,モンゴル高原,1351,1368,exact,1.3,kc.mongol.yuan_hierarchy,交鈔の乱発とチベット仏教への浪費、紅巾の乱という内的要因が、単に「漢民族の反発」で片づけられる,
,kc.mongol.khanate_religion,イル=ハン国とキプチャク=ハン国の宗教的帰結,distinction,wh.3.2.2,1,メソポタミア・イラン,東欧・ロシア,1258,1502,century,1.2,kc.mongol.four_khanates_geo,どちらもイスラーム化したことと、支配下のロシアが正教を保ったままだったことの対比が抜ける,
,kc.crusade.first_crusade_causes,十字軍が起こされた要因,causal,wh.3.3.1,1,西欧,アナトリア・シリア,1071,1099,exact,1.5,kc.euro.agricultural_growth_effects,聖地回復という名目だけを覚え、セルジューク朝に押されたビザンツ皇帝の救援要請と、人口増加による土地不足という西欧側の事情が抜ける,
,kc.crusade.expedition_order,主要な十字軍の回次と結果,chronology,wh.3.3.1,1,南欧・地中海,アナトリア・シリア,1096,1291,exact,1.4,kc.crusade.first_crusade_causes,第1回の成功（イェルサレム王国の建国）と、第4回がコンスタンティノープルを占領したという例外が、回次と結びつかない,
,kc.crusade.consequences,十字軍が結果として変えたもの,causal,wh.3.3.1,1,西欧,南欧・地中海,1096,1300,century,1.6,kc.crusade.expedition_order,「失敗した」で終わり、教皇権の失墜・諸侯騎士の没落・国王権の伸長・東方貿易の拡大という帰結が並べられない,
,kc.crusade.two_trade_zones,地中海商業圏と北ヨーロッパ商業圏の違い,distinction,wh.3.3.1,1,南欧・地中海,西欧;北欧,1100,1400,century,1.4,,ヴェネツィア・ジェノヴァが扱う東方物産と、ハンザ同盟が扱う海産物・木材・穀物が入れ替わり、シャンパーニュが両者を結ぶ位置だという役割も落ちる,
